N_OVO;IDADE_AVES;P_OVO;AL_ALB;PH_ALB;P_ALB;%_ALB;P_GE;C_GE;%_GE;YH;YD;YI;HU;RK;F_Q;P_CA;E_CA;%_CA;OV;CL_PESO;L;B;I_FOR;CLA_I_FOR;VOL_OVO;S_OVO;OBS;TEMPO;DESTINACAO
1142;83;61.3;6.1;9.8;39.480;64.40;15.332;6;25.01;14.5;38.7;0.375;77.1;AA;5.05;6.488;0.40;10.58;1;Extra;57.02;43.65;76.55;Redondo;57.27;60.91;Chalaza_solta;0;Processamento
1143;83;49.3;8.8;9.9;31.950;64.81;12.285;5;24.92;16.4;38.3;0.428;96.4;AA;4.01;5.065;0.38;10.27;1;Grande;53.41;49.89;93.41;Redondo;68.58;66.77;;0;Processamento
1144;83;55.8;8.9;9.6;34.919;62.58;15.634;6;28.02;17.4;44.3;0.393;95.3;AA;3.91;5.247;0.35;9.40;3;Grande;55.87;42.66;76.36;Redondo;53.78;58.66;;0;Processamento
1145;83;60.9;7.9;9.6;38.509;63.23;16.365;6;26.87;17.1;41.7;0.410;88.8;AA;4.73;6.026;0.42;9.89;3;Extra;57.32;43.68;76.20;Redondo;57.64;61.17;;0;Processamento
1146;83;59.7;8.1;8.7;41.250;69.10;13.861;6;23.22;17.8;41.7;0.427;90.2;AA;1.76;4.589;0.31;7.69;2;Extra;61.12;42.38;69.34;Pontiagudo;58.12;61.89;Trincado;0;Descarte
1147;83;57.7;6.5;9.6;35.827;62.09;16.125;5;27.95;16.1;43.7;0.368;81.1;AA;4.95;5.748;0.38;9.96;2;Grande;58.56;42.12;71.93;Pontiagudo;55.05;59.79;;0;Processamento
1148;83;66.2;6.6;9.6;43.441;65.62;16.474;5;24.89;14.3;41.7;0.343;79.1;AA;4.31;6.285;0.39;9.49;2;Extra;59.09;44.80;75.82;Padrão;62.27;64.08;Sujo_chalaza_solta;0;Processamento
1149;83;69.8;7.5;9.5;45.687;65.45;18.021;5;25.82;18.4;42.7;0.431;84.0;AA;4.07;6.092;0.36;8.73;2;Jumbo;61.15;45.38;74.21;Padrão;65.99;66.42;Sujo;0;Processamento
1150;83;71.3;8.0;9.5;46.308;64.95;18.764;5;26.32;19.3;43.7;0.442;86.7;AA;3.67;6.228;0.38;8.73;3;Jumbo;58.35;47.53;81.46;Redondo;68.56;67.53;Sujo;0;Processamento
1151;83;64.7;7.8;9.3;42.997;66.46;15.765;6;24.37;17.6;41.3;0.426;87.2;AA;3.73;5.938;0.38;9.18;2;Extra;60.42;44.24;73.22;Padrão;62.21;64.20;Sujo;0;Processamento
1152;83;63.1;8.8;9.9;39.329;62.33;18.547;5;29.39;17.5;44.0;0.398;93.1;AA;4.21;5.224;0.34;8.28;2;Extra;57.69;44.46;77.07;Redondo;59.95;62.57;Sujo;0;Processamento
1153;83;70.5;8.5;9.6;45.665;64.77;18.127;7;25.71;18.1;43.0;0.421;89.7;AA;3.89;6.708;0.37;9.51;2;Jumbo;60.82;45.79;75.29;Padrão;66.73;66.81;Sujo;0;Processamento
1154;83;58.5;9.5;9.6;37.445;64.01;15.541;5;26.57;17.6;41.0;0.429;97.5;AA;3.41;5.514;0.38;9.43;3;Extra;55.86;43.55;77.96;Redondo;55.87;59.91;;0;Processamento
1155;83;66.3;6.8;9.4;42.558;64.19;18.348;5;27.67;17.1;43.7;0.391;80.5;AA;0.99;5.394;0.34;8.14;1;Extra;58.41;45.58;78.03;Redondo;63.55;64.73;;0;Processamento
1156;83;64.5;7.3;9.2;43.144;66.89;16.078;5;24.93;16.5;43.7;0.378;84.2;AA;3.49;5.278;0.34;8.18;2;Extra;60.33;44.12;73.13;Padrão;61.81;63.96;;0;Processamento
1157;83;72.9;7.6;9.1;49.086;67.33;17.328;6;23.77;17.6;43.3;0.406;83.8;AA;3.47;6.486;0.37;8.90;2;Jumbo;62.79;46.03;73.31;Padrão;69.56;68.57;;0;Processamento
1158;83;63.5;7.8;9.1;38.592;60.77;18.988;6;29.90;18.6;44.0;0.423;87.5;AA;4.06;5.920;0.38;9.32;2;Extra;58.57;44.25;75.55;Padrão;60.33;62.90;Sujo;0;Processamento
1159;83;65.5;5.5;9.3;41.073;62.71;18.741;6;28.61;17.3;40.3;0.429;70.9;A ;3.25;5.686;0.37;8.68;2;Extra;59.99;45.14;75.25;Padrão;64.11;65.24;Chalaza_solta;0;Processamento
1160;83;64.7;7.3;9.5;40.842;63.13;17.571;6;27.16;17.1;44.0;0.389;84.2;AA;3.68;6.287;0.38;9.72;1;Extra;61.71;43.32;70.20;Pontiagudo;61.11;63.70;Sujo ;0;Processamento
1161;83;61.0;7.0;9.4;39.965;65.52;16.105;5;26.40;17.3;42.0;0.412;83.4;AA;3.61;4.930;0.32;8.08;1;Extra;58.15;44.10;75.84;Padrão;59.52;62.38;Sujo ;0;Processamento
1162;83;72.1;7.8;9.8;48.843;67.74;16.736;5;23.21;17.8;43.3;0.411;85.3;AA;5.17;6.521;0.42;9.04;2;Jumbo;60.50;46.58;76.99;Redondo;68.50;67.76;Sujo ;0;Processamento
1163;83;67.8;6.4;9.7;42.984;63.40;18.162;5;26.79;17.1;43.3;0.395;77.2;AA;4.16;6.654;0.41;9.81;2;Extra;59.49;45.47;76.43;Redondo;64.43;65.36;;0;Processamento
1164;83;60.4;8.8;9.4;37.319;61.79;17.799;5;29.47;17.8;43.3;0.411;93.7;AA;4.32;5.282;0.35;8.75;2;Extra;59.57;43.12;72.39;Padrão;58.49;61.95;Sujo;0;Processamento
1165;83;63.7;7.0;9.3;41.760;65.56;16.102;5;25.28;16.5;42.0;0.393;82.6;AA;3.59;5.838;0.37;9.16;3;Extra;58.38;44.67;76.52;Redondo;61.19;63.38;Sujo;0;Processamento
1166;83;64.5;8.3;8.9;41.488;64.32;17.379;5;26.94;17.5;43.7;0.400;90.1;AA;3.05;5.633;0.35;8.73;2;Extra;59.71;44.51;74.54;Padrão;62.17;64.10;;0;Processamento
1167;83;62.8;7.6;9.6;39.109;62.28;18.718;6;29.81;16.8;44.3;0.379;86.5;AA;2.76;4.973;0.32;7.92;1;Extra;55.91;45.31;81.04;Redondo;60.16;62.44;Sujo;0;Processamento
1168;83;68.9;7.5;9.9;43.981;63.83;18.571;6;26.95;17.5;45.0;0.389;84.3;AA;0.99;6.348;0.38;9.21;2;Jumbo;59.13;46.24;78.20;Redondo;66.05;66.24;Sujo_chalaza_solta;0;Processamento
1169;83;58.9;9.0;9.7;37.741;64.08;15.381;6;26.11;17.0;40.7;0.418;95.0;AA;4.44;5.778;0.39;9.81;1;Extra;55.43;43.57;78.60;Redondo;55.48;59.62;;0;Processamento
1170;83;60.3;6.3;9.7;36.022;59.74;18.988;5;31.49;16.9;45.3;0.373;78.9;AA;3.42;5.290;0.36;8.77;1;Extra;58.29;43.37;74.40;Padrão;57.85;61.42;;0;Processamento
1171;83;69.1;8.6;9.6;45.320;65.59;17.047;5;24.67;17.6;43.0;0.409;90.6;AA;4.22;6.733;0.42;9.74;2;Jumbo;59.90;45.55;76.04;Redondo;65.09;65.78;;0;Processamento
1172;83;58.1;7.1;9.8;36.141;62.20;17.480;4;30.09;15.9;45.3;0.351;84.9;AA;3.06;4.479;0.32;7.71;1;Extra;58.89;42.61;72.36;Padrão;56.56;60.73;Sujo;0;Processamento
1173;83;63.8;7.4;9.3;41.188;64.56;16.712;6;26.19;17.1;43.7;0.391;85.1;AA;5.49;5.900;0.38;9.25;3;Extra;59.35;44.44;74.88;Padrão;61.62;63.74;Mancha_sangue;0;Processamento
1174;83;69.2;6.8;9.4;45.459;65.69;17.696;5;25.57;17.9;45.0;0.398;79.6;AA;4.54;6.045;0.36;8.74;2;Jumbo;61.45;45.41;73.90;Padrão;66.39;66.68;Sujo;0;Processamento
1175;83;64.6;8.3;9.6;43.427;67.22;15.672;5;24.26;18.4;41.0;0.449;90.0;AA;3.54;5.501;0.35;8.52;2;Extra;59.83;44.51;74.39;Padrão;62.30;64.19;;0;Processamento
1176;83;64.7;6.6;10.1;43.043;66.53;15.499;5;23.96;16.1;41.7;0.386;79.6;AA;5.84;6.158;0.39;9.52;1;Extra;56.66;45.38;80.09;Redondo;61.14;63.12;;0;Processamento
1177;83;68.6;10.0;9.7;45.274;66.00;17.766;6;25.90;19.0;109.1;0.174;97.7;AA;3.61;5.560;0.36;8.10;2;Jumbo;57.27;47.07;82.19;Redondo;66.10;66.02;;0;Processamento
1178;83;62.7;8.3;9.6;41.633;66.40;15.887;5;25.34;17.1;41.7;0.410;90.5;AA;3.13;5.180;0.36;8.26;1;Extra;58.85;44.28;75.24;Padrão;60.69;63.15;Sujo;0;Processamento
1179;83;71.0;7.4;9.9;45.620;64.25;18.380;6;25.89;16.9;43.3;0.390;83.1;AA;5.33;7.000;0.42;9.86;1;Jumbo;59.38;46.63;78.53;Redondo;67.37;67.00;Sujo;0;Processamento
1180;83;60.8;7.4;10.1;37.420;61.55;17.631;6;29.00;18.3;41.7;0.439;85.9;AA;5.39;5.749;0.36;9.46;1;Extra;56.09;43.81;78.11;Redondo;56.72;60.45;Sujo;0;Processamento
1181;83;65.2;9.8;9.5;43.224;66.29;16.919;5;25.95;17.9;43.0;0.416;97.4;AA;3.00;5.057;0.32;7.76;2;Extra;58.83;45.15;76.75;Redondo;62.89;64.41;;0;Processamento
1182;83;61.2;8.0;9.3;38.143;62.33;17.136;5;28.00;16.9;42.7;0.396;89.3;AA;4.39;5.921;0.39;9.67;2;Extra;57.50;43.85;76.26;Redondo;58.24;61.55;Sujo;0;Processamento
1183;83;70.4;7.6;9.4;47.837;67.95;17.085;6;24.27;17.5;38.7;0.452;84.5;AA;3.02;5.478;0.33;7.78;2;Jumbo;59.88;46.40;77.49;Redondo;67.32;67.03;;0;Processamento
1184;83;61.8;8.0;9.3;38.090;61.63;17.451;5;28.24;17.3;44.0;0.393;89.1;AA;4.95;6.259;0.42;10.13;2;Extra;57.61;43.60;75.68;Padrão;57.74;61.26;;0;Processamento
1185;83;63.4;7.4;9.3;38.974;61.47;19.096;5;30.12;17.6;45.0;0.391;85.2;AA;2.51;5.330;0.34;8.41;1;Extra;60.35;43.50;72.08;Padrão;60.23;63.05;;0;Processamento
1186;83;69.6;6.4;9.7;42.974;61.74;20.852;5;29.96;17.3;40.7;0.425;76.6;AA;2.98;5.774;0.36;8.30;1;Jumbo;61.76;45.22;73.22;Padrão;66.21;66.61;;0;Processamento
1187;83;59.4;6.6;9.5;36.896;62.11;16.770;5;28.23;15.4;43.7;0.352;81.3;AA;1.56;5.734;0.40;9.65;2;Extra;54.06;44.87;83.00;Redondo;57.13;60.38;Sujo;0;Processamento
1188;83;64.1;7.8;9.6;37.994;59.27;19.761;6;30.83;17.4;42.7;0.407;87.4;AA;2.72;6.345;0.39;9.90;2;Extra;59.95;43.76;72.99;Padrão;60.49;63.16;;0;Processamento
1189;83;58.8;6.0;9.4;31.597;53.74;22.579;5;38.40;16.8;44.7;0.376;77.3;AA;2.61;4.624;0.33;7.86;2;Extra;56.51;43.01;76.11;Redondo;55.22;59.62;;0;Processamento
1190;83;66.6;6.6;9.5;43.670;65.57;18.514;5;27.80;15.8;41.3;0.383;79.0;AA;1.11;4.416;0.29;6.63;1;Extra;60.07;44.97;74.86;Padrão;63.75;65.04;Sujo_chalaza_solta;0;Processamento
1191;83;58.1;9.3;9.4;36.127;62.18;16.475;5;28.36;18.9;41.0;0.461;96.7;AA;4.43;5.498;0.41;9.46;1;Extra;56.54;42.98;76.02;Redondo;55.18;59.60;;0;Processamento
1192;83;56.9;6.6;9.7;36.804;64.68;15.041;6;26.43;14.5;39.0;0.372;82.1;AA;4.57;5.055;0.35;8.88;2;Grande;56.67;43.37;76.53;Redondo;56.24;60.25;Chalaza_solta;0;Processamento
1193;83;44.5;8.3;9.8;26.658;59.91;14.212;6;31.94;16.0;37.3;0.429;95.3;AA;2.92;3.630;0.29;8.16;1;Médio;54.14;38.55;71.20;Pontiagudo;43.15;51.73;;0;Processamento
1194;83;59.8;7.5;9.7;37.604;62.88;16.778;6;28.06;16.6;39.3;0.422;86.8;AA;4.56;5.418;0.38;9.06;1;Extra;57.17;43.58;76.23;Redondo;57.25;60.92;Sujo;0;Processamento
1195;83;56.7;7.4;9.7;34.315;60.52;16.640;6;29.35;16.8;43.3;0.388;87.1;AA;4.69;5.745;0.39;10.13;2;Grande;55.69;43.18;77.54;Redondo;54.82;59.26;;0;Processamento
1196;83;69.3;6.4;9.7;44.851;64.72;18.134;6;26.17;16.5;43.0;0.384;76.7;AA;1.95;6.315;0.38;9.11;2;Jumbo;61.70;45.37;73.53;Padrão;66.56;66.80;;0;Processamento
1197;83;60.0;6.6;9.7;37.735;62.89;17.369;6;28.95;14.3;40.0;0.358;81.1;AA;3.23;4.896;0.34;8.16;2;Extra;59.61;42.66;71.57;Pontiagudo;57.38;61.30;Sujo;0;Processamento
1198;83;62.9;7.9;9.4;40.721;64.74;17.642;6;28.05;16.4;41.0;0.400;88.3;AA;1.01;4.537;0.30;7.21;4;Extra;60.13;43.93;73.06;Padrão;61.11;63.54;Trincado;0;Descarte
1199;83;64.1;7.5;9.5;39.906;62.26;17.680;5;27.58;17.6;42.3;0.416;85.6;AA;4.94;6.514;0.30;10.16;2;Extra;59.30;44.22;74.57;Padrão;61.00;63.38;Sujo;0;Processamento
1200;83;59.3;7.0;9.6;37.155;62.66;17.944;6;30.26;16.8;44.7;0.376;83.9;AA;2.63;4.201;0.40;7.08;1;Extra;57.42;43.02;74.92;Padrão;56.14;60.29;;0;Processamento
1201;85;66.5;4.8;10.3;43.585;65.54;16.701;5;25.11;15.6;41.0;0.380;64.0;A ;4.49;6.214;0.38;9.34;4;Extra;60.63;45.39;74.86;Padrão;65.45;66.07;;7;Processamento
1202;85;61.9;5.8;9.8;39.415;63.68;17.087;5;27.60;15.4;46.3;0.333;74.6;AA;3.38;5.398;0.34;8.72;2;Extra;62.71;42.34;67.52;Pontiagudo;59.52;62.87;;7;Processamento
1203;85;58.1;6.9;9.4;38.128;65.62;15.414;5;26.53;15.8;41.7;0.379;83.6;AA;2.79;4.558;0.30;7.85;2;Extra;56.64;42.53;75.09;Padrão;54.21;59.03;Sujo;7;Processamento
1204;85;62.1;4.9;9.2;40.827;65.74;15.519;6;24.99;15.4;43.7;0.352;66.9;A ;3.86;5.754;0.40;9.27;2;Extra;58.42;44.23;75.71;Padrão;60.12;62.76;;7;Processamento
1205;85;65.8;6.3;8.8;43.061;65.44;17.882;3;27.18;15.6;46.7;0.334;77.1;AA;2.44;4.857;0.30;7.38;2;Extra;62.61;44.63;71.28;Pontiagudo;65.52;66.30;Sujo;7;Processamento
1206;85;61.3;5.1;9.3;37.295;60.84;18.239;5;29.75;14.9;45.3;0.329;69.1;A ;3.55;5.766;0.34;9.41;1;Extra;57.82;43.63;75.46;Padrão;58.02;61.46;;7;Processamento
1207;85;59.4;5.6;9.7;36.543;61.52;17.235;5;29.02;14.9;46.7;0.319;74.0;AA;3.95;5.622;0.35;9.46;1;Extra;57.54;42.84;74.45;Padrão;55.82;60.12;;7;Processamento
1208;85;53.8;4.8;9.2;33.022;61.38;15.778;6;29.33;14.8;42.3;0.350;69.7;A ;3.70;5.000;0.37;9.29;1;Grande;57.40;41.71;72.67;Padrão;52.99;58.39;;7;Processamento
1209;85;61.6;4.9;9.8;38.660;62.76;17.183;5;27.89;16.4;41.3;0.397;67.1;A ;4.33;5.757;0.39;9.35;3;Extra;58.10;43.97;75.68;Padrão;59.15;62.15;Sujo;7;Processamento
1210;85;57.3;5.1;9.5;35.228;61.48;16.362;6;28.55;15.1;47.3;0.319;70.7;A ;3.51;5.710;0.39;9.97;2;Grande;57.98;43.13;74.39;Padrão;56.95;60.85;;7;Processamento
1211;85;68.6;6.6;9.9;43.677;63.67;18.596;5;27.11;17.8;44.0;0.405;78.3;AA;3.29;6.327;0.38;9.22;2;Jumbo;59.13;45.66;77.22;Redondo;64.54;65.38;Sujo;7;Processamento
1212;85;63.8;6.6;9.9;40.133;62.90;17.798;5;27.90;16.8;43.3;0.388;79.9;AA;4.45;5.869;0.38;9.20;2;Extra;57.59;45.19;78.47;Redondo;61.67;63.55;;7;Processamento
1213;85;62.5;4.1;10.0;40.198;64.32;16.135;6;25.82;13.9;43.0;0.323;58.5;B ;3.67;6.167;0.38;9.87;3;Extra;57.96;44.38;76.57;Redondo;60.03;62.65;Sujo;7;Processamento
1214;85;60.1;6.0;10.2;37.286;62.04;16.695;5;27.78;15.5;44.0;0.352;76.8;AA;5.08;6.119;0.40;10.18;2;Extra;59.31;42.60;71.83;Pontiagudo;56.94;61.00;;7;Processamento
1215;85;60.7;5.6;10.1;36.556;60.22;17.452;5;28.75;15.3;45.0;0.340;73.5;AA;5.18;6.692;0.38;11.02;2;Extra;56.89;43.86;77.10;Redondo;57.65;61.11;;7;Processamento
1216;85;69.5;5.0;10.1;44.345;63.81;19.187;5;27.61;16.6;44.3;0.375;64.7;A ;2.50;5.968;0.35;8.59;3;Jumbo;62.60;45.47;72.64;Padrão;67.80;67.58;Sujo;7;Processamento
1217;85;53.4;5.4;10.1;30.414;56.96;17.724;5;33.19;16.0;45.7;0.350;74.8;AA;3.45;5.262;0.36;9.85;2;Grande;55.03;41.83;76.01;Redondo;51.07;56.89;Sujo;7;Processamento
1218;85;61.2;6.1;9.8;37.858;61.86;17.988;5;29.39;16.9;44.0;0.384;77.2;AA;3.68;5.354;0.36;8.75;2;Extra;58.20;43.53;74.79;Padrão;58.16;61.59;Sujo;7;Processamento
1219;85;61.4;5.4;9.9;39.064;63.62;16.574;5;26.99;15.8;43.3;0.365;71.6;A ;3.24;5.762;0.36;9.38;2;Extra;59.21;43.05;72.71;Padrão;57.96;61.60;;7;Processamento
1220;85;70.7;5.9;9.5;45.981;65.04;18.574;5;26.27;16.0;43.7;0.366;72.3;AA;3.40;6.145;0.36;8.69;1;Jumbo;61.51;45.98;74.75;Padrão;68.00;67.59;Sujo;7;Processamento
1221;85;71.1;4.5;9.7;45.857;64.50;19.273;5;27.11;15.3;46.3;0.330;58.7;B ;3.19;5.970;0.38;8.40;2;Jumbo;60.85;46.19;75.91;Padrão;67.84;67.43;;7;Processamento
1222;85;61.2;6.0;10.1;41.838;68.36;15.296;6;24.99;15.4;45.0;0.342;76.4;AA;2.61;4.066;0.30;6.64;4;Extra;61.68;43.87;71.13;Pontiagudo;62.53;64.51;Sujo;7;Processamento
1223;85;68.1;6.8;9.6;41.656;61.17;20.552;6;30.18;18.0;45.3;0.397;79.9;AA;3.78;5.892;0.36;8.65;1;Jumbo;59.33;46.58;78.51;Redondo;67.18;66.89;Sujo;7;Processamento
1224;85;62.4;5.6;10.0;38.503;61.70;18.000;5;28.85;16.1;45.3;0.355;72.9;AA;3.96;5.897;0.37;9.45;3;Extra;59.64;43.26;72.54;Padrão;58.91;62.20;;7;Processamento
1225;85;53.0;6.5;9.7;32.495;61.31;15.997;6;30.18;16.0;45.0;0.356;82.7;AA;1.50;4.508;0.31;8.51;1;Grande;56.68;41.16;72.62;Padrão;51.05;57.11;;7;Processamento
1226;85;62.3;6.3;9.8;37.710;60.53;19.015;6;30.52;16.4;45.3;0.362;78.2;AA;3.42;5.575;0.35;8.95;1;Extra;57.82;44.51;76.98;Redondo;60.21;62.73;;7;Processamento
1227;85;61.0;6.3;10.1;36.014;59.04;19.130;6;31.36;16.5;44.3;0.372;78.7;AA;3.73;5.856;0.40;9.60;2;Extra;57.98;43.62;75.23;Padrão;58.16;61.56;;7;Processamento
1228;85;60.8;6.1;10.1;38.977;64.11;16.473;5;27.09;16.3;45.3;0.360;77.3;AA;3.35;5.350;0.36;8.80;3;Extra;56.87;43.97;77.32;Redondo;57.89;61.26;Sujo;7;Processamento
1229;85;66.7;5.4;9.8;41.818;62.70;18.790;5;28.17;16.0;45.3;0.353;69.5;A ;4.31;6.092;0.37;9.13;1;Extra;59.41;45.25;76.17;Redondo;63.77;64.98;Sujo;7;Processamento
1230;85;71.2;6.0;10.1;44.137;61.99;20.171;5;28.33;16.4;45.3;0.362;72.9;AA;4.09;6.892;0.40;9.68;1;Jumbo;60.25;46.27;76.80;Redondo;67.39;67.11;Sujo;7;Processamento
1231;85;64.6;5.9;9.5;38.988;60.35;20.389;5;31.56;16.0;46.7;0.343;74.4;AA;2.59;5.223;0.31;8.09;2;Extra;59.92;44.52;74.30;Padrão;62.42;64.27;Sujo;7;Processamento
1232;85;74.9;6.1;9.5;51.564;68.84;16.941;5;22.62;16.1;44.0;0.366;72.5;AA;3.99;6.395;0.34;8.54;2;Jumbo;62.10;46.88;75.49;Padrão;71.15;69.38;;7;Processamento
1233;85;60.8;5.5;9.7;37.001;60.86;18.310;5;30.12;15.9;45.0;0.353;72.7;AA;1.05;5.489;0.35;9.03;1;Extra;57.27;44.01;76.85;Redondo;58.40;61.61;Sujo;7;Processamento
1234;85;70.0;6.5;10.0;42.772;61.10;21.321;6;30.46;18.3;47.0;0.389;77.2;AA;4.12;5.907;0.36;8.44;3;Jumbo;59.90;45.68;76.26;Redondo;65.43;65.98;;7;Processamento
1235;85;55.2;5.1;10.2;31.526;57.11;18.317;5;33.18;16.0;43.0;0.372;71.6;A ;4.16;5.357;0.37;9.70;1;Grande;54.83;42.53;77.57;Redondo;52.48;57.72;;7;Processamento
1236;85;65.0;4.8;10.2;40.634;62.51;17.890;6;27.52;14.0;44.0;0.318;64.7;A ;2.55;6.476;0.37;9.96;1;Extra;58.11;44.45;76.49;Redondo;60.36;62.86;;7;Processamento
1237;85;68.0;6.3;10.2;44.767;65.83;17.564;5;25.83;16.1;44.0;0.366;76.3;AA;3.22;5.669;0.34;8.34;2;;60.55;45.19;74.63;Padrão;64.84;65.71;;7;Processamento
1238;85;59.3;5.5;10.2;37.451;63.16;17.701;5;29.85;14.8;45.3;0.327;73.2;AA;1.80;4.148;0.26;6.99;1;Extra;56.52;44.43;78.61;Redondo;58.66;61.65;Sujo_trincado;7;Descarte
1239;85;72.5;5.6;10.1;44.726;61.69;21.030;5;29.01;17.5;47.3;0.370;69.1;A ;3.80;6.744;0.35;9.30;2;Jumbo;60.36;46.83;77.58;Redondo;69.02;68.03;Sujo;7;Processamento
1240;85;63.3;4.6;10.1;39.819;62.91;17.612;5;27.82;15.9;42.7;0.372;63.5;A ;3.31;5.869;0.37;9.27;1;Extra;59.58;43.72;73.38;Padrão;60.02;62.84;;7;Processamento
1241;85;69.6;6.3;9.7;46.488;66.79;17.767;6;25.53;15.9;44.0;0.361;75.8;AA;1.54;5.345;0.32;7.68;1;Jumbo;59.44;46.65;78.48;Redondo;67.49;67.07;Sujo_trincado;7;Descarte
1242;85;63.9;4.6;10.2;39.558;61.91;18.391;6;28.78;15.6;45.0;0.347;63.2;A ;4.50;5.951;0.38;9.31;2;Extra;58.29;44.64;76.58;Redondo;61.02;63.27;;7;Processamento
1243;85;57.8;7.3;9.9;35.289;61.05;17.510;6;30.29;18.0;42.3;0.426;86.2;AA;2.41;5.001;0.33;8.65;3;Grande;56.33;42.82;76.02;Redondo;54.60;59.22;Sujo;7;Processamento
1244;85;66.7;5.1;10.2;39.920;59.85;19.989;6;29.97;16.4;45.3;0.362;66.8;A ;4.11;6.791;0.41;10.18;2;Extra;59.55;45.04;75.63;Padrão;63.38;64.77;;7;Processamento
1245;85;61.3;6.8;9.5;39.740;64.83;18.022;5;29.40;17.0;43.7;0.389;82.0;AA;1.99;3.538;0.26;5.77;3;Extra;57.60;44.67;77.55;Redondo;60.37;62.80;;7;Processamento
1246;85;58.8;3.8;9.9;36.203;61.57;16.639;5;28.30;15.0;43.0;0.349;57.1;B ;5.41;5.958;0.38;10.13;2;Extra;58.47;42.74;73.10;Padrão;56.48;60.63;Sujo;7;Processamento
1247;85;65.0;5.1;;43.216;66.49;16.254;5;25.01;14.3;43.3;0.330;67.5;A ;3.80;5.530;0.38;8.51;2;Extra;58.52;45.23;77.29;Redondo;62.77;64.30;Sujo;7;Processamento
1248;85;67.4;6.1;9.7;45.213;67.08;16.396;5;24.33;15.5;43.3;0.358;75.0;AA;3.78;5.791;0.36;8.59;3;Extra;60.22;45.67;75.84;Padrão;65.75;66.19;Sujo;7;Processamento
1249;85;62.9;3.8;9.5;37.114;59.00;19.611;6;31.18;14.4;46.3;0.311;54.8;B ;0.81;6.175;0.39;9.82;1;Extra;;;;;;;;7;Processamento
1250;85;64.1;5.8;10.0;41.611;64.92;16.664;6;26.00;15.0;42.7;0.351;73.8;AA;3.86;5.825;0.37;9.09;1;Extra;56.08;45.64;81.38;Redondo;61.16;63.04;;7;Processamento
1251;85;57.2;8.0;10.0;34.523;60.35;17.453;5;30.51;15.9;48.3;0.329;90.3;AA;2.82;5.224;0.34;9.13;2;Grande;56.07;42.95;76.60;Redondo;54.65;59.22;;7;Processamento
1252;85;72.6;6.5;9.9;46.427;63.95;20.069;5;27.64;17.1;46.7;0.366;76.4;AA;3.44;6.104;0.35;8.41;3;Jumbo;60.79;46.59;76.64;Redondo;68.86;67.99;;7;Processamento
1253;85;68.6;7.3;9.8;44.217;64.46;18.840;5;27.46;18.0;42.7;0.422;83.1;AA;4.03;5.543;0.36;8.08;3;Jumbo;58.48;46.75;79.94;Redondo;66.66;66.49;Sujo;7;Processamento
1254;85;63.4;5.5;9.8;39.427;62.19;18.697;5;29.49;16.9;44.0;0.384;71.7;A ;3.77;5.276;0.33;8.32;3;Extra;58.84;44.49;75.61;Padrão;61.22;63.45;;7;Processamento
1255;85;58.8;4.6;9.4;35.871;61.01;17.443;6;29.66;14.4;47.3;0.304;65.6;A ;4.61;5.486;0.35;9.33;1;Extra;57.27;43.54;76.03;Redondo;57.25;60.93;Sujo;7;Processamento
1256;85;64.4;6.3;10.1;38.740;60.16;19.170;5;29.77;17.4;45.3;0.384;77.5;AA;4.54;6.490;0.38;10.08;2;Extra;58.29;44.92;77.06;Redondo;61.73;63.68;;7;Processamento
1257;85;58.7;5.6;9.7;36.498;62.18;16.830;5;28.67;15.1;44.3;0.341;74.3;AA;4.69;5.372;0.38;9.15;2;Extra;58.24;43.14;74.07;Padrão;57.23;61.05;Sujo;7;Processamento
1258;85;65.0;5.0;9.9;39.847;61.30;19.083;6;29.36;15.3;47.3;0.323;66.6;A ;4.27;6.070;0.38;9.34;4;Extra;59.78;44.14;73.84;Padrão;61.29;63.60;Sujo;7;Processamento
1259;85;62.6;5.3;9.2;37.554;59.99;18.963;6;30.29;14.8;40.3;0.367;70.3;A ;4.08;6.083;0.38;9.72;2;Extra;56.89;44.61;78.41;Redondo;59.48;62.19;Sujo;7;Processamento
1260;85;67.9;6.1;10.0;;;;5;;11.1;44.3;0.251;74.9;AA;4.43;6.511;0.39;9.59;2;Extra;57.66;46.10;79.95;Redondo;64.05;64.92;;7;Processamento
1261;85;64.6;6.1;9.8;;;;5;;15.1;45.7;0.330;76.0;AA;3.50;6.140;0.38;9.50;2;Extra;61.30;43.84;71.52;Pontiagudo;62.06;64.21;;7;Processamento
1262;85;58.1;4.4;10.2;36.378;62.61;16.344;5;28.13;15.4;37.7;0.408;63.9;A ;4.31;5.378;0.36;9.26;2;Extra;56.93;43.05;75.62;Padrão;55.73;59.98;;7;Processamento
1263;85;66.7;4.4;9.7;41.953;62.90;18.251;5;27.36;14.9;45.3;0.329;59.7;B ;4.28;6.496;0.40;9.74;1;Extra;58.35;45.72;78.35;Redondo;63.84;64.89;;7;Processamento
1264;85;63.7;5.0;10.2;39.792;62.47;17.970;6;28.21;14.8;38.0;0.389;67.2;A ;2.42;5.938;0.36;9.32;3;Extra;60.13;43.73;72.73;Padrão;60.60;63.24;;7;Processamento
1265;85;60.7;5.3;10.0;39.831;65.62;15.231;5;25.09;13.9;43.0;0.323;71.0;A ;3.41;5.638;0.37;9.29;3;Extra;58.85;44.20;75.11;Padrão;60.49;63.03;Sujo;7;Processamento
